Taiwan, Death rates (period 1x1)     Last modified: 08-Feb-2012, MPv5 (May07)

   Year      Age       Female       Male         Total
   1970        0     0.015387     0.017779     0.016618 
   1970        1     0.004464     0.005075     0.004777 
   1970        2     0.003064     0.003463     0.003269 
   1970        3     0.001928     0.002169     0.002052 
   1970        4     0.001188     0.001371     0.001283 
   1970        5     0.000833     0.001030     0.000934 
   1970        6     0.000599     0.000797     0.000700 
   1970        7     0.000444     0.000629     0.000539 
   1970        8     0.000353     0.000525     0.000441 
   1970        9     0.000324     0.000468     0.000398 
   1970       10     0.000349     0.000459     0.000406 
   1970       11     0.000389     0.000498     0.000445 
   1970       12     0.000443     0.000580     0.000513 
   1970       13     0.000501     0.000680     0.000593 
   1970       14     0.000556     0.000801     0.000682 
   1970       15     0.000637     0.000984     0.000816 
   1970       16     0.000710     0.001169     0.000946 
   1970       17     0.000750     0.001290     0.001027 
   1970       18     0.000749     0.001330     0.001047 
   1970       19     0.000773     0.001424     0.001106 
   1970       20     0.000817     0.001570     0.001199 
   1970       21     0.000861     0.001677     0.001276 
   1970       22     0.000943     0.001815     0.001392 
   1970       23     0.001059     0.002058     0.001572 
   1970       24     0.001196     0.002352     0.001784 
   1970       25     0.001146     0.002247     0.001702 
   1970       26     0.001073     0.002040     0.001562 
   1970       27     0.001115     0.002042     0.001585 
   1970       28     0.001184     0.002110     0.001649 
   1970       29     0.001259     0.002157     0.001710 
   1970       30     0.001372     0.002272     0.001823 
   1970       31     0.001528     0.002472     0.002001 
   1970       32     0.001658     0.002701     0.002178 
   1970       33     0.001723     0.002868     0.002292 
   1970       34     0.001734     0.002967     0.002348 
   1970       35     0.001773     0.003057     0.002423 
   1970       36     0.001893     0.003158     0.002559 
   1970       37     0.001978     0.003272     0.002676 
   1970       38     0.002036     0.003322     0.002748 
   1970       39     0.002145     0.003375     0.002849 
   1970       40     0.002325     0.003605     0.003073 
   1970       41     0.002497     0.003939     0.003344 
   1970       42     0.002700     0.004229     0.003609 
   1970       43     0.002960     0.004579     0.003934 
   1970       44     0.003205     0.004977     0.004274 
   1970       45     0.003557     0.005527     0.004749 
   1970       46     0.003906     0.006327     0.005346 
   1970       47     0.004091     0.006898     0.005729 
   1970       48     0.004244     0.007103     0.005908 
   1970       49     0.004826     0.007698     0.006517 
   1970       50     0.005765     0.008943     0.007640 
   1970       51     0.006383     0.010069     0.008529 
   1970       52     0.006562     0.010857     0.009002 
   1970       53     0.007047     0.011629     0.009651 
   1970       54     0.007904     0.012725     0.010679 
   1970       55     0.008222     0.013554     0.011269 
   1970       56     0.008568     0.014357     0.011846 
   1970       57     0.009395     0.014892     0.012556 
   1970       58     0.010312     0.017044     0.014063 
   1970       59     0.011803     0.021312     0.016801 
   1970       60     0.013882     0.023484     0.018982 
   1970       61     0.016337     0.027002     0.021964 
   1970       62     0.018740     0.030116     0.024731 
   1970       63     0.020366     0.032026     0.026488 
   1970       64     0.022072     0.035130     0.028805 
   1970       65     0.024559     0.038657     0.031778 
   1970       66     0.028097     0.044483     0.036339 
   1970       67     0.029450     0.047491     0.038274 
   1970       68     0.031628     0.050677     0.040771 
   1970       69     0.035550     0.056017     0.045209 
   1970       70     0.039545     0.063090     0.050272 
   1970       71     0.041981     0.067675     0.053285 
   1970       72     0.047126     0.070801     0.057646 
   1970       73     0.062110     0.081570     0.071145 
   1970       74     0.065835     0.087893     0.075673 
   1970       75     0.066336     0.096006     0.078542 
   1970       76     0.075306     0.106706     0.087954 
   1970       77     0.075140     0.111915     0.089073 
   1970       78     0.079020     0.124077     0.095081 
   1970       79     0.092850     0.130077     0.106800 
   1970       80     0.106036     0.137105     0.117691 
   1970       81     0.112569     0.142940     0.123660 
   1970       82     0.119989     0.147717     0.129918 
   1970       83     0.130141     0.158538     0.139970 
   1970       84     0.142641     0.171379     0.152265 
   1970       85     0.154309     0.179752     0.162639 
   1970       86     0.166918     0.187812     0.173618 
   1970       87     0.182137     0.199387     0.187525 
   1970       88     0.197312     0.215190     0.202659 
   1970       89     0.212792     0.231178     0.218052 
   1970       90     0.231204     0.245573     0.235187 
   1970       91     0.249769     0.259799     0.252458 
   1970       92     0.267564     0.274527     0.269360 
   1970       93     0.285669     0.290018     0.286745 
   1970       94     0.304161     0.306112     0.304624 
   1970       95     0.322946     0.323632     0.323102 
   1970       96     0.341771     0.346937     0.342873 
   1970       97     0.360071     0.376913     0.363409 
   1970       98     0.379898     0.404126     0.384419 
   1970       99     0.402771     0.418732     0.405662 
   1970      100     0.424003     0.430053     0.425070 
   1970      101     0.440379     0.460000     0.443605 
   1970      102     0.456429     0.528497     0.466860 
   1970      103     0.478653     0.821151     0.512420 
   1970      104     0.497202     6.000000     0.542283 
   1970      105     0.532686            .     0.532686 
   1970      106     0.627964            .     0.627964 
   1970      107     0.967742            .     0.967742 
   1970      108     6.000000            .     6.000000 
   1970      109            .            .            . 
   1970      110+           .            .            . 
   1971        0     0.013984     0.016251     0.015152 
   1971        1     0.005603     0.005644     0.005624 
   1971        2     0.002512     0.002959     0.002741 
   1971        3     0.001282     0.001556     0.001423 
   1971        4     0.000929     0.001041     0.000987 
   1971        5     0.000707     0.000864     0.000788 
   1971        6     0.000561     0.000782     0.000674 
   1971        7     0.000449     0.000694     0.000574 
   1971        8     0.000374     0.000619     0.000500 
   1971        9     0.000328     0.000561     0.000447 
   1971       10     0.000311     0.000507     0.000412 
   1971       11     0.000317     0.000487     0.000405 
   1971       12     0.000343     0.000516     0.000432 
   1971       13     0.000400     0.000593     0.000498 
   1971       14     0.000476     0.000693     0.000587 
   1971       15     0.000557     0.000806     0.000685 
   1971       16     0.000643     0.000955     0.000804 
   1971       17     0.000712     0.001106     0.000914 
   1971       18     0.000743     0.001216     0.000985 
   1971       19     0.000724     0.001271     0.001004 
   1971       20     0.000727     0.001406     0.001074 
   1971       21     0.000770     0.001618     0.001200 
   1971       22     0.000814     0.001779     0.001304 
   1971       23     0.000893     0.001953     0.001437 
   1971       24     0.001005     0.002203     0.001616 
   1971       25     0.001134     0.002429     0.001790 
   1971       26     0.001090     0.002267     0.001683 
   1971       27     0.001016     0.002027     0.001527 
   1971       28     0.001045     0.002033     0.001543 
   1971       29     0.001095     0.002112     0.001605 
   1971       30     0.001147     0.002184     0.001667 
   1971       31     0.001222     0.002302     0.001763 
   1971       32     0.001350     0.002501     0.001926 
   1971       33     0.001477     0.002701     0.002087 
   1971       34     0.001571     0.002814     0.002189 
   1971       35     0.001650     0.002895     0.002269 
   1971       36     0.001779     0.002994     0.002396 
   1971       37     0.001979     0.003151     0.002596 
   1971       38     0.002129     0.003342     0.002783 
   1971       39     0.002240     0.003481     0.002928 
   1971       40     0.002376     0.003634     0.003095 
   1971       41     0.002587     0.003901     0.003355 
   1971       42     0.002774     0.004241     0.003635 
   1971       43     0.003018     0.004497     0.003898 
   1971       44     0.003310     0.004788     0.004199 
   1971       45     0.003589     0.005073     0.004485 
   1971       46     0.004003     0.005550     0.004940 
   1971       47     0.004368     0.006323     0.005529 
   1971       48     0.004596     0.006890     0.005938 
   1971       49     0.004702     0.007155     0.006127 
   1971       50     0.005333     0.007886     0.006836 
   1971       51     0.006283     0.009374     0.008100 
   1971       52     0.006978     0.010733     0.009163 
   1971       53     0.007182     0.011848     0.009825 
   1971       54     0.007833     0.012904     0.010716 
   1971       55     0.008898     0.014455     0.012084 
   1971       56     0.009401     0.015430     0.012836 
   1971       57     0.009947     0.016395     0.013587 
   1971       58     0.010869     0.016834     0.014290 
   1971       59     0.011785     0.019088     0.015830 
   1971       60     0.013356     0.023442     0.018642 
   1971       61     0.015162     0.025274     0.020503 
   1971       62     0.017434     0.028770     0.023363 
   1971       63     0.019515     0.031347     0.025704 
   1971       64     0.021046     0.033345     0.027448 
   1971       65     0.022746     0.036595     0.029820 
   1971       66     0.025608     0.040484     0.033153 
   1971       67     0.029829     0.047003     0.038377 
   1971       68     0.031886     0.050609     0.040934 
   1971       69     0.035251     0.054602     0.044435 
   1971       70     0.039981     0.060449     0.049493 
   1971       71     0.044831     0.068501     0.055439 
   1971       72     0.047257     0.072459     0.058231 
   1971       73     0.052276     0.075699     0.062566 
   1971       74     0.067078     0.087666     0.076461 
   1971       75     0.067963     0.093479     0.079067 
   1971       76     0.068099     0.102938     0.082188 
   1971       77     0.075236     0.114256     0.090671 
   1971       78     0.078337     0.127960     0.096730 
   1971       79     0.082260     0.143288     0.103517 
   1971       80     0.104790     0.135569     0.116454 
   1971       81     0.114396     0.147940     0.126726 
   1971       82     0.121200     0.153316     0.132696 
   1971       83     0.129001     0.157119     0.138888 
   1971       84     0.140066     0.168145     0.149605 
   1971       85     0.154027     0.181426     0.163030 
   1971       86     0.166944     0.188733     0.173963 
   1971       87     0.181044     0.195211     0.185532 
   1971       88     0.198558     0.205709     0.200772 
   1971       89     0.216107     0.221064     0.217577 
   1971       90     0.234142     0.236124     0.234705 
   1971       91     0.256360     0.248657     0.254232 
   1971       92     0.279068     0.260201     0.273998 
   1971       93     0.300897     0.271804     0.293342 
   1971       94     0.323311     0.283514     0.313346 
   1971       95     0.346592     0.295199     0.334200 
   1971       96     0.370404     0.307624     0.355869 
   1971       97     0.394600     0.327106     0.379882 
   1971       98     0.418322     0.355138     0.405605 
   1971       99     0.444965     0.376516     0.432010 
   1971      100     0.476889     0.380974     0.459036 
   1971      101     0.506698     0.380326     0.483389 
   1971      102     0.527977     0.401832     0.506448 
   1971      103     0.548701     0.477933     0.538545 
   1971      104     0.581201     0.567273     0.580181 
   1971      105     0.607735            .     0.607735 
   1971      106     0.672538            .     0.672538 
   1971      107     0.910345            .     0.910345 
   1971      108     1.463415            .     1.463415 
   1971      109            .            .            . 
   1971      110+           .            .            . 
   1972        0     0.013742     0.015511     0.014651 
   1972        1     0.003175     0.003493     0.003339 
   1972        2     0.001928     0.002619     0.002282 
   1972        3     0.001319     0.001551     0.001438 
   1972        4     0.000832     0.000941     0.000888 
   1972        5     0.000594     0.000780     0.000689 
   1972        6     0.000465     0.000709     0.000590 
   1972        7     0.000385     0.000662     0.000526 
   1972        8     0.000335     0.000602     0.000472 
   1972        9     0.000318     0.000549     0.000436 
   1972       10     0.000327     0.000510     0.000420 
   1972       11     0.000352     0.000498     0.000427 
   1972       12     0.000387     0.000526     0.000459 
   1972       13     0.000432     0.000604     0.000520 
   1972       14     0.000499     0.000737     0.000620 
   1972       15     0.000565     0.000878     0.000725 
   1972       16     0.000614     0.000991     0.000808 
   1972       17     0.000680     0.001145     0.000918 
   1972       18     0.000750     0.001299     0.001031 
   1972       19     0.000800     0.001410     0.001112 
   1972       20     0.000815     0.001462     0.001146 
   1972       21     0.000870     0.001595     0.001239 
   1972       22     0.000956     0.001784     0.001375 
   1972       23     0.001011     0.001890     0.001456 
   1972       24     0.001070     0.001987     0.001537 
   1972       25     0.001125     0.002113     0.001624 
   1972       26     0.001204     0.002262     0.001738 
   1972       27     0.001135     0.002117     0.001629 
   1972       28     0.001067     0.001956     0.001515 
   1972       29     0.001139     0.002071     0.001607 
   1972       30     0.001259     0.002271     0.001765 
   1972       31     0.001352     0.002402     0.001879 
   1972       32     0.001441     0.002552     0.001997 
   1972       33     0.001558     0.002756     0.002157 
   1972       34     0.001638     0.002894     0.002264 
   1972       35     0.001663     0.002947     0.002302 
   1972       36     0.001697     0.003049     0.002370 
   1972       37     0.001798     0.003195     0.002508 
   1972       38     0.001984     0.003434     0.002746 
   1972       39     0.002153     0.003715     0.002995 
   1972       40     0.002306     0.003937     0.003210 
   1972       41     0.002482     0.004101     0.003407 
   1972       42     0.002722     0.004372     0.003688 
   1972       43     0.002932     0.004739     0.003994 
   1972       44     0.003194     0.005031     0.004289 
   1972       45     0.003474     0.005364     0.004612 
   1972       46     0.003749     0.005710     0.004936 
   1972       47     0.004148     0.006293     0.005448 
   1972       48     0.004510     0.007175     0.006094 
   1972       49     0.004718     0.007761     0.006500 
   1972       50     0.004783     0.007993     0.006648 
   1972       51     0.005407     0.008776     0.007387 
   1972       52     0.006359     0.010377     0.008715 
   1972       53     0.007105     0.011866     0.009871 
   1972       54     0.007378     0.013156     0.010647 
   1972       55     0.008146     0.014432     0.011715 
   1972       56     0.009278     0.016090     0.013164 
   1972       57     0.009844     0.016899     0.013848 
   1972       58     0.010437     0.017684     0.014514 
   1972       59     0.011317     0.017809     0.015018 
   1972       60     0.012297     0.019849     0.016461 
   1972       61     0.013978     0.024117     0.019273 
   1972       62     0.015961     0.026085     0.021261 
   1972       63     0.018612     0.029701     0.024351 
   1972       64     0.021313     0.032459     0.027086 
   1972       65     0.023821     0.035257     0.029705 
   1972       66     0.026401     0.039164     0.032843 
   1972       67     0.029966     0.043648     0.036828 
   1972       68     0.034685     0.051242     0.042819 
   1972       69     0.036515     0.055825     0.045723 
   1972       70     0.038840     0.060372     0.048898 
   1972       71     0.042051     0.066567     0.053220 
