Japan, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 08/08/2012
Year    Age        female
1947     12       860269.03
1947     13       849998.53
1947     14       853506.57
1947     15       849122.22
1947     16       831984.32
1947     17       813282.05
1947     18       800416.15
1947     19       785914.33
1947     20       774385.79
1947     21       763079.79
1947     22       733947.86
1947     23       702298.60
1947     24       681918.14
1947     25       658515.20
1947     26       649817.37
1947     27       613788.09
1947     28       562074.29
1947     29       553716.79
1947     30       557642.11
1947     31       556208.70
1947     32       553851.18
1947     33       547447.58
1947     34       535912.82
1947     35       531396.55
1947     36       519968.22
1947     37       505823.96
1947     38       491863.29
1947     39       472844.38
1947     40       437433.58
1947     41       409007.76
1947     42       403955.64
1947     43       404415.31
1947     44       409766.45
1947     45       405844.02
1947     46       392402.81
1947     47       370253.75
1947     48       354449.71
1947     49       342470.81
1947     50       326728.41
1947     51       318103.07
1947     52       307537.64
1947     53       291781.12
1947     54       281778.24
1947     55       269391.29
1948     12       881727.15
1948     13       858957.48
1948     14       848791.65
1948     15       851314.78
1948     16       846166.78
1948     17       828013.28
1948     18       807953.00
1948     19       794184.82
1948     20       779979.28
1948     21       769217.73
1948     22       756501.75
1948     23       726018.48
1948     24       694975.94
1948     25       674839.64
1948     26       651778.26
1948     27       644306.25
1948     28       609012.76
1948     29       557401.46
1948     30       549612.66
1948     31       554490.22
1948     32       553137.58
1948     33       550427.42
1948     34       544542.81
1948     35       534242.05
1948     36       528582.16
1948     37       514678.99
1948     38       500786.83
1948     39       487471.92
1948     40       468976.13
1948     41       433685.17
1948     42       405328.21
1948     43       400723.10
1948     44       400976.47
1948     45       406464.96
1948     46       402285.32
1948     47       387982.44
1948     48       364974.24
1948     49       349451.64
1948     50       338850.30
1948     51       323899.94
1948     52       314872.20
1948     53       303612.52
1948     54       287688.20
1948     55       278322.68
1949     12       879675.88
1949     13       880084.95
1949     14       857677.53
1949     15       847601.74
1949     16       849163.18
1949     17       843291.44
1949     18       824151.68
1949     19       802744.90
1949     20       788063.01
1949     21       774271.42
1949     22       764394.58
1949     23       750400.13
1949     24       718672.87
1949     25       688301.11
1949     26       668395.93
1949     27       645582.24
1949     28       639265.55
1949     29       604675.28
1949     30       553167.96
1949     31       545971.97
1949     32       551814.92
1949     33       550534.93
1949     34       547438.95
1949     35       542028.28
1949     36       532905.63
1949     37       526091.09
1949     38       509706.86
1949     39       496068.80
1949     40       483404.04
1949     41       465417.73
1949     42       430209.32
1949     43       401880.87
1949     44       397683.76
1949     45       397696.19
1949     46       403302.21
1949     47       398860.58
1949     48       383692.98
1949     49       359821.42
1949     50       344577.29
1949     51       335338.86
1949     52       321174.28
1949     53       311739.02
1949     54       299785.00
1949     55       283697.81
1950     12       846975.00
1950     13       879032.48
1950     14       878547.34
1950     15       856587.46
1950     16       846320.07
1950     17       847061.02
1950     18       840441.74
1950     19       820407.85
1950     20       797920.92
1950     21       782663.61
1950     22       769426.09
1950     23       760250.99
1950     24       745023.91
1950     25       712594.28
1950     26       682825.67
1950     27       662931.34
1950     28       640412.08
1950     29       635049.78
1950     30       600982.97
1950     31       549676.14
1950     32       542981.60
1950     33       549590.01
1950     34       548148.58
1950     35       544726.84
1950     36       539774.67
1950     37       531774.85
1950     38       523581.64
1950     39       505271.23
1950     40       492029.93
1950     41       479706.81
1950     42       462147.14
1950     43       426872.97
1950     44       398948.40
1950     45       394807.48
1950     46       394656.12
1950     47       400357.38
1950     48       395497.16
1950     49       379527.91
1950     50       354983.63
1950     51       340105.67
1950     52       331938.08
1950     53       318504.49
1950     54       308609.74
1950     55       296118.62
1951     12       812916.85
1951     13       846736.08
1951     14       877891.33
1951     15       877377.06
1951     16       855909.69
1951     17       844861.24
1951     18       845141.55
1951     19       837879.69
1951     20       817191.93
1951     21       794304.86
1951     22       779052.87
1951     23       766152.06
1951     24       756758.35
1951     25       740789.22
1951     26       708952.36
1951     27       679445.22
1951     28       659330.74
1951     29       637228.80
1951     30       632414.19
1951     31       598398.62
1951     32       547260.69
1951     33       540786.81
1951     34       547617.86
1951     35       545720.01
1951     36       542319.01
1951     37       537689.73
1951     38       530230.98
1951     39       520650.67
1951     40       502143.87
1951     41       489647.03
1951     42       476679.29
1951     43       459380.83
1951     44       424163.87
1951     45       396847.48
1951     46       392372.08
1951     47       392096.52
1951     48       397656.55
1951     49       392197.35
1951     50       376012.24
1951     51       351315.47
1951     52       336750.85
1951     53       328977.91
1951     54       315882.83
1951     55       305553.12
1952     12       850924.49
1952     13       812861.69
1952     14       845987.65
1952     15       877024.89
1952     16       876743.03
1952     17       855053.86
1952     18       843611.79
1952     19       843501.84
1952     20       835665.44
1952     21       814766.76
1952     22       792073.00
1952     23       776851.57
1952     24       763451.90
1952     25       753904.59
1952     26       738509.12
1952     27       707119.04
1952     28       677563.78
1952     29       657455.09
1952     30       635520.71
1952     31       630705.95
1952     32       596701.70
1952     33       545606.41
1952     34       538970.53
1952     35       545661.88
1952     36       543642.82
1952     37       540180.35
1952     38       535493.77
1952     39       528088.34
1952     40       518688.78
1952     41       500633.97
1952     42       487871.25
1952     43       474259.75
1952     44       456941.27
1952     45       422302.49
1952     46       395099.30
1952     47       390374.28
1952     48       389918.87
1952     49       395054.34
1952     50       389445.43
1952     51       373327.86
1952     52       348657.59
1952     53       333891.61
1952     54       326244.80
1952     55       313379.43
1953     12       932890.63
1953     13       851220.80
1953     14       812865.48
1953     15       845342.18
1953     16       876173.72
1953     17       876152.41
1953     18       854221.14
1953     19       842412.07
1953     20       842000.37
1953     21       833579.92
1953     22       812585.99
1953     23       790042.35
1953     24       774939.99
1953     25       761193.79
1953     26       751444.03
1953     27       736674.57
1953     28       705761.45
1953     29       676074.05
1953     30       655918.16
1953     31       634194.17
1953     32       629300.44
1953     33       595343.66
1953     34       544166.84
1953     35       537428.99
1953     36       543940.96
1953     37       541809.35
1953     38       538250.23
1953     39       533480.01
1953     40       526089.41
1953     41       516982.43
1953     42       499309.43
1953     43       486219.68
1953     44       471996.90
1953     45       454635.22
1953     46       420430.97
1953     47       393378.31
1953     48       388407.65
1953     49       387712.05
1953     50       392525.28
1953     51       386610.65
1953     52       370512.10
1953     53       345898.49
1953     54       330964.31
1953     55       323442.64
1954     12       967339.19
1954     13       933114.33
1954     14       851528.93
1954     15       812926.44
1954     16       844689.36
1954     17       875243.87
1954     18       875465.95
1954     19       853292.22
1954     20       841171.50
1954     21       840446.70
1954     22       831544.55
1954     23       810471.70
1954     24       788064.70
1954     25       773188.57
1954     26       759089.19
1954     27       749134.82
1954     28       735001.19
1954     29       704495.85
1954     30       674733.31
1954     31       654611.23
1954     32       632959.12
1954     33       628052.10
1954     34       594054.13
1954     35       542884.63
1954     36       535994.93
1954     37       542359.36
1954     38       540052.38
1954     39       536388.60
1954     40       531591.25
1954     41       524246.81
1954     42       515425.41
1954     43       498040.55
1954     44       484628.59
1954     45       469738.87
1954     46       452294.82
1954     47       418563.60
1954     48       391601.47
1954     49       386347.17
1954     50       385466.55
1954     51       389851.03
1954     52       383730.83
1954     53       367665.65
1954     54       343119.22
1954     55       327982.31
1955     12       960859.59
1955     13       967584.76
1955     14       932984.21
1955     15       851504.94
1955     16       812584.91
1955     17       843645.90
1955     18       873964.22
1955     19       874275.20
1955     20       851853.28
1955     21       839531.67
1955     22       838604.45
1955     23       829379.15
1955     24       808244.99
1955     25       786112.06
1955     26       771480.93
1955     27       756977.10
1955     28       747000.96
1955     29       733402.24
1955     30       703314.37
1955     31       673428.46
1955     32       653291.79
1955     33       631768.70
1955     34       626811.98
1955     35       592810.13
1955     36       541543.45
1955     37       534548.93
1955     38       540711.86
1955     39       538312.48
1955     40       534600.72
1955     41       529709.35
1955     42       522452.48
1955     43       513820.80
1955     44       496604.80
1955     45       482893.34
1955     46       467493.85
1955     47       449973.89
1955     48       416603.28
1955     49       389627.27
1955     50       384133.90
1955     51       383047.33
1955     52       387116.89
1955     53       380897.71
1955     54       364839.20
1955     55       340356.94
1956     12       938884.19
1956     13       959867.59
1956     14       966153.07
1956     15       931463.64
1956     16       850052.06
1956     17       810639.64
1956     18       841344.42
1956     19       871266.46
1956     20       871408.60
1956     21       848717.70
1956     22       836551.29
1956     23       835636.26
1956     24       826452.70
1956     25       805607.56
1956     26       783796.74
1956     27       769302.92
1956     28       754754.40
1956     29       744996.21
1956     30       731723.53
1956     31       701842.66
1956     32       671805.44
1956     33       651731.33
1956     34       630230.18
1956     35       625312.99
1956     36       591267.50
1956     37       539868.44
1956     38       532779.04
1956     39       538844.03
1956     40       536466.74
1956     41       532636.34
1956     42       527633.39
1956     43       520482.28
1956     44       511830.30
1956     45       494610.22
1956     46       480587.03
1956     47       465109.05
1956     48       447532.53
1956     49       414226.21
1956     50       387133.41
1956     51       381485.63
1956     52       380279.04
1956     53       384121.31
1956     54       378030.38
1956     55       362046.19
1957     12       852056.09
1957     13       937061.25
1957     14       957497.19
1957     15       963604.09
1957     16       928825.84
1957     17       847263.78
1957     18       807694.01
1957     19       837991.64
1957     20       867262.57
1957     21       867104.33
1957     22       844510.70
1957     23       832562.05
1957     24       831951.99
1957     25       823118.73
1957     26       802597.24
1957     27       781055.44
1957     28       766844.82
1957     29       752546.43
1957     30       742834.47
1957     31       729772.27
1957     32       700080.67
1957     33       669899.66
1957     34       649768.26
1957     35       628397.14
1957     36       623545.55
1957     37       589361.87
1957     38       537898.83
1957     39       530732.45
1957     40       536803.66
1957     41       534422.36
1957     42       530406.00
1957     43       525386.53
1957     44       518236.27
1957     45       509353.83
1957     46       491928.26
1957     47       478046.02
1957     48       462592.99
1957     49       444720.17
1957     50       411305.02
1957     51       384218.83
1957     52       378404.55
1957     53       377068.66
1957     54       381000.43
1957     55       375118.22
1958     12       806278.66
1958     13       850505.02
1958     14       935269.13
1958     15       955119.78
1958     16       960957.92
1958     17       926087.04
1958     18       844373.99
1958     19       804608.56
1958     20       834536.52
1958     21       863199.34
1958     22       862767.88
1958     23       840259.53
1958     24       828557.48
1958     25       828389.71
1958     26       819857.09
1958     27       799680.24
1958     28       778391.79
1958     29       764392.89
1958     30       750395.28
1958     31       740788.22
1958     32       727932.82
1958     33       698373.18
1958     34       668066.21
1958     35       647930.68
1958     36       626661.76
1958     37       621801.43
1958     38       587517.74
1958     39       535986.22
1958     40       528681.35
1958     41       534774.28
1958     42       532383.97
1958     43       528224.49
1958     44       523166.31
1958     45       515982.75
1958     46       506770.67
1958     47       489215.61
1958     48       475463.16
1958     49       459964.42
1958     50       441752.46
1958     51       408352.14
1958     52       381263.73
1958     53       375244.29
1958     54       373777.10
1958     55       377767.53
1959     12      1015410.56
1959     13       805140.25
1959     14       849007.94
1959     15       933491.34
1959     16       952706.69
1959     17       958278.08
1959     18       923290.56
1959     19       841404.70
1959     20       801484.75
1959     21       831133.40
1959     22       859166.94
1959     23       858524.26
1959     24       836099.02
1959     25       824758.06
1959     26       824987.93
1959     27       816730.94
1959     28       796917.91
1959     29       775786.97
1959     30       762082.94
1959     31       748409.29
1959     32       738843.80
1959     33       726190.88
1959     34       696738.01
1959     35       666329.74
1959     36       646148.76
1959     37       624991.70
1959     38       620151.63
1959     39       585805.10
1959     40       534075.59
1959     41       526678.74
1959     42       532809.23
1959     43       530419.08
1959     44       526060.29
1959     45       520933.58
1959     46       513714.22
1959     47       504226.50
1959     48       486501.12
1959     49       472797.61
1959     50       457283.99
1959     51       438780.90
1959     52       405367.25
1959     53       378244.62
1959     54       372042.67
1959     55       370420.52
1960     12      1192263.19
1960     13      1015279.65
1960     14       803823.44
1960     15       847392.81
1960     16       931465.39
1960     17       950206.02
1960     18       955589.48
1960     19       920576.03
1960     20       838719.66
1960     21       798798.71
1960     22       828226.92
1960     23       855740.75
1960     24       854915.95
1960     25       832491.14
1960     26       821532.47
1960     27       822058.83
1960     28       814031.92
1960     29       794462.72
1960     30       773565.20
1960     31       760114.65
1960     32       746598.91
1960     33       737043.45
1960     34       724509.05
1960     35       695110.15
1960     36       664690.92
1960     37       644430.56
1960     38       623375.31
1960     39       618394.14
1960     40       583939.32
1960     41       532145.67
1960     42       524750.21
1960     43       530848.58
1960     44       528419.42
1960     45       523826.74
1960     46       518652.68
1960     47       511335.01
1960     48       501512.64
1960     49       483542.71
1960     50       469989.84
1960     51       454369.20
1960     52       435603.68
1960     53       402298.22
1960     54       375111.85
1960     55       368727.60
1961     12      1180624.03
1961     13      1192153.22
1961     14      1014023.61
1961     15       801809.55
1961     16       845268.62
1961     17       928750.84
1961     18       947749.07
1961     19       953292.27
1961     20       918757.70
1961     21       837402.71
1961     22       797839.52
1961     23       827379.73
1961     24       854601.76
1961     25       853581.20
1961     26       830765.34
1961     27       820245.95
1961     28       820850.14
1961     29       812755.53
1961     30       793276.60
1961     31       772452.20
1961     32       759094.48
1961     33       745424.21
1961     34       735672.23
1961     35       722990.24
1961     36       693531.31
1961     37       663262.14
1961     38       643028.49
1961     39       621747.34
1961     40       616190.38
1961     41       581897.10
1961     42       530409.76
1961     43       523015.06
1961     44       528995.58
1961     45       526492.24
1961     46       521697.80
1961     47       516427.77
1961     48       508745.84
1961     49       498364.37
1961     50       480246.61
1961     51       466831.95
1961     52       450745.70
1961     53       432097.08
1961     54       399443.62
1961     55       372026.00
1962     12      1111097.46
1962     13      1180709.24
1962     14      1191184.06
1962     15      1012144.01
1962     16       799495.43
1962     17       842483.08
1962     18       926039.76
1962     19       945554.23
1962     20       951650.34
1962     21       917934.70
1962     22       837374.80
1962     23       798384.93
1962     24       828238.61
1962     25       855258.04
1962     26       853644.39
1962     27       830595.10
1962     28       820304.71
1962     29       820719.94
1962     30       812374.82
1962     31       792864.59
1962     32       772097.04
1962     33       758562.07
1962     34       744565.17
1962     35       734457.21
1962     36       721451.30
1962     37       692065.96
1962     38       662037.66
1962     39       641672.70
1962     40       619788.39
1962     41       613766.79
1962     42       579929.14
1962     43       528782.00
1962     44       521343.98
1962     45       527208.90
1962     46       524635.51
1962     47       519716.53
1962     48       514062.76
1962     49       505825.35
1962     50       494840.15
1962     51       476715.74
1962     52       463034.33
1962     53       446672.13
1962     54       428726.73
1962     55       396582.40
1963     12      1036503.89
1963     13      1111795.51
1963     14      1180850.13
1963     15      1190222.40
1963     16      1010275.83
1963     17       797142.97
1963     18       839674.20
1963     19       923311.34
1963     20       943419.40
1963     21       950011.92
1963     22       917190.19
1963     23       837382.06
1963     24       799015.67
1963     25       829124.47
1963     26       856035.65
1963     27       853810.74
1963     28       830511.36
1963     29       820379.30
1963     30       820643.05
1963     31       812080.95
1963     32       792503.76
1963     33       771825.55
1963     34       758082.66
1963     35       743768.14
1963     36       733319.35
1963     37       719918.38
1963     38       690589.94
1963     39       660783.68
1963     40       640377.91
1963     41       617797.44
1963     42       611327.36
1963     43       577944.51
1963     44       527153.73
1963     45       519644.06
1963     46       525348.72
1963     47       522757.79
1963     48       517581.58
1963     49       511611.73
1963     50       502749.03
1963     51       491223.41
1963     52       473102.38
1963     53       459160.55
1963     54       442524.54
1963     55       425297.38
1964     12       951315.99
1964     13      1037379.31
1964     14      1112532.57
1964     15      1180985.32
1964     16      1189208.61
1964     17      1008391.48
1964     18       794751.67
1964     19       836848.32
1964     20       920605.25
1964     21       941250.22
1964     22       948436.82
1964     23       916461.34
1964     24       837447.48
1964     25       799671.07
1964     26       830121.84
1964     27       856853.59
1964     28       854045.43
1964     29       830446.29
1964     30       820554.88
1964     31       820677.34
1964     32       811838.56
1964     33       792216.58
1964     34       771583.55
1964     35       757655.75
1964     36       743024.09
1964     37       732148.83
1964     38       718325.26
1964     39       689135.08
1964     40       659556.52
1964     41       639063.61
1964     42       615789.98
1964     43       608893.76
1964     44       575898.87
1964     45       525474.29
1964     46       517858.63
1964     47       523358.86
1964     48       520723.55
1964     49       515341.44
1964     50       509077.86
1964     51       499638.02
1964     52       487613.33
1964     53       469425.98
1964     54       455257.58
1964     55       438325.94
