Taiwan, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/04/2012
Year    Age        female
1976     12-    0.00000
1976     13     0.00020
1976     14     0.00274
1976     15     0.00733
1976     16     0.01376
1976     17     0.03128
1976     18     0.05232
1976     19     0.08580
1976     20     0.12668
1976     21     0.17623
1976     22     0.22197
1976     23     0.26906
1976     24     0.29472
1976     25     0.29260
1976     26     0.26811
1976     27     0.24357
1976     28     0.20189
1976     29     0.16589
1976     30     0.12519
1976     31     0.10755
1976     32     0.08341
1976     33     0.06496
1976     34     0.05174
1976     35     0.04211
1976     36     0.03223
1976     37     0.02494
1976     38     0.01939
1976     39     0.01535
1976     40     0.01253
1976     41     0.00910
1976     42     0.00686
1976     43     0.00430
1976     44     0.00324
1976     45     0.00178
1976     46     0.00101
1976     47     0.00056
1976     48     0.00036
1976     49     0.00037
1976     50     0.00121
1976     51     0.00096
1976     52     0.00029
1976     53     0.00006
1976     54     0.00001
1976     55+    0.00000
1977     12-    0.00000
1977     13     0.00013
1977     14     0.00168
1977     15     0.00432
1977     16     0.01286
1977     17     0.02935
1977     18     0.05252
1977     19     0.08096
1977     20     0.11806
1977     21     0.16012
1977     22     0.20450
1977     23     0.24039
1977     24     0.25549
1977     25     0.25757
1977     26     0.23947
1977     27     0.20148
1977     28     0.17337
1977     29     0.13644
1977     30     0.10899
1977     31     0.08193
1977     32     0.07144
1977     33     0.05225
1977     34     0.04253
1977     35     0.03353
1977     36     0.02703
1977     37     0.02096
1977     38     0.01652
1977     39     0.01326
1977     40     0.00991
1977     41     0.00716
1977     42     0.00578
1977     43     0.00387
1977     44     0.00237
1977     45     0.00117
1977     46     0.00070
1977     47     0.00037
1977     48     0.00027
1977     49     0.00019
1977     50     0.00054
1977     51     0.00046
1977     52     0.00016
1977     53     0.00004
1977     54     0.00001
1977     55+    0.00000
1978     12-    0.00000
1978     13     0.00036
1978     14     0.00336
1978     15     0.00365
1978     16     0.01216
1978     17     0.02750
1978     18     0.04805
1978     19     0.07960
1978     20     0.11300
1978     21     0.15510
1978     22     0.19923
1978     23     0.23891
1978     24     0.25619
1978     25     0.25990
1978     26     0.24690
1978     27     0.21825
1978     28     0.17741
1978     29     0.14330
1978     30     0.11003
1978     31     0.08673
1978     32     0.06275
1978     33     0.05163
1978     34     0.04033
1978     35     0.03039
1978     36     0.02410
1978     37     0.01810
1978     38     0.01430
1978     39     0.01076
1978     40     0.00804
1978     41     0.00706
1978     42     0.00433
1978     43     0.00307
1978     44     0.00209
1978     45     0.00124
1978     46     0.00053
1978     47     0.00032
1978     48     0.00027
1978     49     0.00015
1978     50     0.00082
1978     51     0.00075
1978     52     0.00024
1978     53     0.00005
1978     54     0.00001
1978     55+    0.00000
1979     12-    0.00000
1979     13     0.00017
1979     14     0.00193
1979     15     0.00364
1979     16     0.01145
1979     17     0.02710
1979     18     0.04752
1979     19     0.07687
1979     20     0.11456
1979     21     0.15531
1979     22     0.19449
1979     23     0.23640
1979     24     0.25635
1979     25     0.25619
1979     26     0.23952
1979     27     0.21297
1979     28     0.18015
1979     29     0.13781
1979     30     0.11034
1979     31     0.08106
1979     32     0.06297
