Taiwan, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/04/2012
Year    Age        female
1976     12       202804.68
1976     13       205645.99
1976     14       204923.82
1976     15       202151.91
1976     16       200932.84
1976     17       195989.56
1976     18       186991.41
1976     19       184524.63
1976     20       186250.42
1976     21       179447.75
1976     22       168994.74
1976     23       162965.70
1976     24       163115.23
1976     25       151687.02
1976     26       135725.89
1976     27       124491.57
1976     28       110076.25
1976     29        95501.39
1976     30        82440.76
1976     31        85190.57
1976     32        93998.15
1976     33        95832.87
1976     34        95835.88
1976     35        95996.15
1976     36        94694.12
1976     37        90994.40
1976     38        88793.72
1976     39        87245.64
1976     40        84574.61
1976     41        81992.21
1976     42        78270.09
1976     43        75557.46
1976     44        74791.42
1976     45        73137.50
1976     46        70562.93
1976     47        67893.18
1976     48        64545.71
1976     49        62204.65
1976     50        58910.66
1976     51        55402.71
1976     52        51022.64
1976     53        50444.22
1976     54        50764.32
1976     55        46990.49
1977     12       202157.45
1977     13       202131.99
1977     14       204833.83
1977     15       203981.05
1977     16       201619.53
1977     17       200513.69
1977     18       196038.14
1977     19       187301.36
1977     20       185014.08
1977     21       186598.73
1977     22       179580.38
1977     23       169523.29
1977     24       163794.14
1977     25       163697.60
1977     26       151954.79
1977     27       135693.16
1977     28       124145.73
1977     29       109680.39
1977     30        94922.93
1977     31        81830.92
1977     32        84564.99
1977     33        93067.82
1977     34        94695.76
1977     35        94738.36
1977     36        95132.08
1977     37        93953.65
1977     38        90187.19
1977     39        87877.00
1977     40        86182.88
1977     41        83657.64
1977     42        81341.16
1977     43        77702.74
1977     44        75027.29
1977     45        74177.24
1977     46        72659.79
1977     47        70231.76
1977     48        67609.32
1977     49        64410.26
1977     50        62162.00
1977     51        59049.83
1977     52        55523.82
1977     53        51331.68
1977     54        50756.58
1977     55        51002.44
1978     12       200716.91
1978     13       200402.47
1978     14       201454.04
1978     15       204007.28
1978     16       203026.88
1978     17       201082.68
1978     18       200087.74
1978     19       196085.61
1978     20       187599.97
1978     21       185498.73
1978     22       186961.47
1978     23       179719.21
1978     24       170051.04
1978     25       164622.38
1978     26       164282.09
1978     27       152228.69
1978     28       135660.73
1978     29       123803.40
1978     30       109288.49
1978     31        94336.30
1978     32        81212.93
1978     33        83936.56
1978     34        92131.96
1978     35        93551.65
1978     36        93639.90
1978     37        94257.58
1978     38        93212.21
1978     39        89383.45
1978     40        86951.91
1978     41        85117.45
1978     42        82736.76
1978     43        80678.03
1978     44        77108.27
1978     45        74488.85
1978     46        73557.68
1978     47        72175.62
1978     48        69889.05
1978     49        67310.56
1978     50        64276.96
1978     51        62090.47
1978     52        59140.73
